x,y,z,Class
-24.38,10.92,-78.98,yaw
-8.21,21,-250.14,yaw
-58.5,-50.71,-250.14,yaw
75.24,-6.42,-250.14,yaw
-63.72,14.58,-20.13,yaw
-30.78,19.73,250.13,yaw
69.76,93.28,250.13,yaw
79.07,-25.14,250.13,yaw
-62.13,-42.6,59.18,yaw
-30.34,46.66,-130.51,yaw
-77.97,33.69,-250.14,yaw
67.55,18.58,-250.14,yaw
-49.71,-40.88,-138.18,yaw
4.44,13.95,250.13,yaw
-21.21,79.21,250.13,yaw
122.71,-70.28,250.13,yaw
-57.66,22.02,109.39,yaw
-68.29,54.08,-214.7,yaw
-146.12,42.25,-250.14,yaw
-36.99,42.23,-250.14,yaw
-89.88,-46.68,-152.37,yaw
-64.68,35.71,222.38,yaw
19.49,23.73,250.13,yaw
27.67,6.91,250.13,yaw
10.64,-88.58,175.21,yaw
-26.06,-21.52,-67.42,yaw
-107.31,-29.95,-250.14,yaw
-128.5,-11.31,-250.14,yaw
-37.61,-83.49,-250.14,yaw
-38.56,17.9,80.21,yaw
-0.65,-8.34,250.13,yaw
120.89,23.43,250.13,yaw
-98.6,-79.74,247.02,yaw
-12.29,-38.02,29.22,yaw
17.13,24.37,-250.14,yaw
-149.66,27.04,-250.14,yaw
44.05,63.36,-250.14,yaw
-51.01,-93.14,-130.36,yaw
-42.27,30.09,137.58,yaw
-23.16,-3.2,250.13,yaw
182.88,111.69,250.13,yaw
-68.31,-64.71,250.13,yaw
6.85,-50.51,47.4,yaw
-84.88,77.86,-250.14,yaw
-87.66,-8.36,-250.14,yaw
46.08,111.55,-250.14,yaw
-57.1,-20.63,60.17,yaw
155.65,-23.35,250.13,yaw
-2.71,29.71,250.13,yaw
102.2,-153.16,250.13,yaw
-51.11,-10.17,45.82,yaw
-75.76,61.33,-250.14,yaw
-193.44,-46.87,-250.14,yaw
3.77,92.59,-250.14,yaw
-46.44,-9.84,38.94,yaw
-36.86,-4.24,250.13,yaw
92.19,-98.18,250.13,yaw
5.45,-119.4,250.13,yaw
-60.09,-20.94,43.48,yaw
13.53,54.78,-194.47,yaw
-126.53,37.46,-250.14,yaw
-48.4,46.79,-250.14,yaw
27.47,-2.45,-250.14,yaw
-20.47,22.79,132.94,yaw
-16.14,-17.1,250.13,yaw
72.91,-33.05,250.13,yaw
-81.97,33.95,250.13,yaw
-25.11,-2.79,-17.3,yaw
-1.9,135.78,-250.14,yaw
-100.85,83.5,-250.14,yaw
-52.66,8.54,-250.14,yaw
-100.83,-16.85,-198.69,yaw
17.15,61.05,228.85,yaw
-8.15,16.14,250.13,yaw
36.21,-83.69,250.13,yaw
-30.93,-26.34,189.21,yaw
-31.79,14.19,-123.48,yaw
-28.66,-81.28,-250.14,yaw
-75.24,27.64,-250.14,yaw
-20.69,71.85,-250.14,yaw
-52.66,-18.34,45.54,yaw
124.15,-64.93,250.13,yaw
22.4,-61.85,250.13,yaw
-4.6,15.33,250.13,yaw
-75.96,-0.15,117.34,yaw
33.25,83.97,-250.14,yaw
-49.88,86.44,-250.14,yaw
-43.05,38.52,-250.14,yaw
-120.56,-11.73,-168.06,yaw
21.91,23.4,250.13,yaw
58.18,-98.53,250.13,yaw
-38.05,-4.86,250.13,yaw
-83.06,29.55,250.13,yaw
-0.76,-34.44,-87.87,yaw
23.79,126.66,-250.14,yaw
-149.6,115.88,-250.14,yaw
-28.85,117.6,-250.14,yaw
20.58,49.94,-97.02,yaw
53.85,-42.37,250.13,yaw
94.63,61.41,250.13,yaw
139.47,-37.73,250.13,yaw
-100.71,50.76,-60.97,yaw
-95.22,75.34,-250.14,yaw
-132.51,180.55,-250.14,yaw
-68,44.09,-250.14,yaw
-41.72,61.22,-64.36,yaw
91.15,-33.66,250.13,yaw
161.56,11.67,250.13,yaw
12.44,-23.51,250.13,yaw
-30.59,67.63,-77.15,yaw
-61.85,-108.27,-250.14,yaw
-47.17,205.61,-250.14,yaw
-47.21,110.07,-250.14,yaw
-19,-21.69,102.93,yaw
164.33,-96.94,250.13,yaw
116.88,12.83,250.13,yaw
-64.91,116.52,250.13,yaw
-38.82,15.16,-109.66,yaw
-51.56,-125.63,-250.14,yaw
-46.02,211.48,-250.14,yaw
-38.67,93,-250.14,yaw
7.15,88.16,-100.58,yaw
113.53,-16.74,250.13,yaw
51.6,-40.89,250.13,yaw
49.1,9.02,250.13,yaw
-30.39,62.22,25.18,yaw
-25.95,-2.89,-250.14,yaw
-162.47,62.04,-250.14,yaw
19.74,162.82,-237.81,yaw
32.89,31.22,5.23,yaw
79.76,-112.88,250.13,yaw
